:======================================================================:
|     Appendix A List of MS-DRGs Version 36.0     |
035 01  P  CAROTID ARTERY STENT PROCEDURE WITH CC
036 01  P  CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
037 01  P  EXTRACRANIAL PROCEDURES WITH MCC
038 01  P  EXTRACRANIAL PROCEDURES WITH CC
039 01  P  EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
040 01  P  PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC
041 01  P  PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR
042 01  P  PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC
052 01  M  SPINAL DISORDERS AND INJURIES WITH CC/MCC
053 01  M  SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC
054 01  M  NERVOUS SYSTEM NEOPLASMS WITH MCC
055 01  M  NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
056 01  M  DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
057 01  M  DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
058 01  M  MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC
059 01  M  MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC
060 01  M  MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC
061 01  M  ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC
062 01  M  ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC
063 01  M  ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC
064 01  M  INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC
065 01  M  INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS
066 01  M  INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
067 01  M  NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC
068 01  M  NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC
069 01  M  TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC
070 01  M  NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
071 01  M  NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
072 01  M  NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
073 01  M  CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC
074 01  M  CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC
075 01  M  VIRAL MENINGITIS WITH CC/MCC
076 01  M  VIRAL MENINGITIS WITHOUT CC/MCC
077 01  M  HYPERTENSIVE ENCEPHALOPATHY WITH MCC
078 01  M  HYPERTENSIVE ENCEPHALOPATHY WITH CC
079 01  M  HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC
080 01  M  NONTRAUMATIC STUPOR AND COMA WITH MCC
081 01  M  NONTRAUMATIC STUPOR AND COMA WITHOUT MCC
082 01  M  TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH MCC
083 01  M  TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH CC
084 01  M  TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITHOUT CC/MCC
085 01  M  TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH MCC
086 01  M  TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH CC
087 01  M  TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITHOUT CC/MCC
088 01  M  CONCUSSION WITH MCC
089 01  M  CONCUSSION WITH CC
090 01  M  CONCUSSION WITHOUT CC/MCC
091 01  M  OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
092 01  M  OTHER DISORDERS OF NERVOUS SYSTEM WITH CC
093 01  M  OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
094 01  M  BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC
095 01  M  BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC
096 01  M  BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC
097 01  M  NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC
098 01  M  NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC
099 01  M  NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC
100 01  M  SEIZURES WITH MCC
101 01  M  SEIZURES WITHOUT MCC
102 01  M  HEADACHES WITH MCC
103 01  M  HEADACHES WITHOUT MCC
113 02  P  ORBITAL PROCEDURES WITH CC/MCC
114 02  P  ORBITAL PROCEDURES WITHOUT CC/MCC
115 02  P  EXTRAOCULAR PROCEDURES EXCEPT ORBIT
116 02  P  INTRAOCULAR PROCEDURES WITH CC/MCC
117 02  P  INTRAOCULAR PROCEDURES WITHOUT CC/MCC
121 02  M  ACUTE MAJOR EYE INFECTIONS WITH CC/MCC
122 02  M  ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC
123 02  M  NEUROLOGICAL EYE DISORDERS
124 02  M  OTHER DISORDERS OF THE EYE WITH MCC
125 02  M  OTHER DISORDERS OF THE EYE WITHOUT MCC
129 03  P  MAJOR HEAD AND NECK PROCEDURES WITH CC/MCC OR MAJOR DEVICE
130 03  P  MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC
131 03  P  CRANIAL AND FACIAL PROCEDURES WITH CC/MCC
132 03  P  CRANIAL AND FACIAL PROCEDURES WITHOUT CC/MCC
133 03  P  OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC/MCC
134 03  P  OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC
135 03  P  SINUS AND MASTOID PROCEDURES WITH CC/MCC
136 03  P  SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC
137 03  P  MOUTH PROCEDURES WITH CC/MCC
138 03  P  MOUTH PROCEDURES WITHOUT CC/MCC
139 03  P  SALIVARY GLAND PROCEDURES
146 03  M  EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC
147 03  M  EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC
148 03  M  EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC
149 03  M  DYSEQUILIBRIUM
150 03  M  EPISTAXIS WITH MCC
151 03  M  EPISTAXIS WITHOUT MCC
152 03  M  OTITIS MEDIA AND URI WITH MCC
153 03  M  OTITIS MEDIA AND URI WITHOUT MCC
154 03  M  OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC
155 03  M  OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC
156 03  M  OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC
157 03  M  DENTAL AND ORAL DISEASES WITH MCC
158 03  M  DENTAL AND ORAL DISEASES WITH CC
159 03  M  DENTAL AND ORAL DISEASES WITHOUT CC/MCC
163 04  P  MAJOR CHEST PROCEDURES WITH MCC
164 04  P  MAJOR CHEST PROCEDURES WITH CC
165 04  P  MAJOR CHEST PROCEDURES WITHOUT CC/MCC
166 04  P  OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC
167 04  P  OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC
168 04  P  OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
175 04  M  PULMONARY EMBOLISM WITH MCC
176 04  M  PULMONARY EMBOLISM WITHOUT MCC
177 04  M  RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
178 04  M  RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC
179 04  M  RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC
180 04  M  RESPIRATORY NEOPLASMS WITH MCC
181 04  M  RESPIRATORY NEOPLASMS WITH CC
182 04  M  RESPIRATORY NEOPLASMS WITHOUT CC/MCC
183 04  M  MAJOR CHEST TRAUMA WITH MCC
184 04  M  MAJOR CHEST TRAUMA WITH CC
185 04  M  MAJOR CHEST TRAUMA WITHOUT CC/MCC
186 04  M  PLEURAL EFFUSION WITH MCC
187 04  M  PLEURAL EFFUSION WITH CC
188 04  M  PLEURAL EFFUSION WITHOUT CC/MCC
189 04  M  PULMONARY EDEMA AND RESPIRATORY FAILURE
190 04  M  CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC
191 04  M  CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC
192 04  M  CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC
193 04  M  SIMPLE PNEUMONIA AND PLEURISY WITH MCC
194 04  M  SIMPLE PNEUMONIA AND PLEURISY WITH CC
195 04  M  SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC
196 04  M  INTERSTITIAL LUNG DISEASE WITH MCC
197 04  M  INTERSTITIAL LUNG DISEASE WITH CC
198 04  M  INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC
199 04  M  PNEUMOTHORAX WITH MCC
200 04  M  PNEUMOTHORAX WITH CC
201 04  M  PNEUMOTHORAX WITHOUT CC/MCC
202 04  M  BRONCHITIS AND ASTHMA WITH CC/MCC
203 04  M  BRONCHITIS AND ASTHMA WITHOUT CC/MCC
204 04  M  RESPIRATORY SIGNS AND SYMPTOMS
205 04  M  OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC
206 04  M  OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC
207 04  M  RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO) 
208 04  M  RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <= 96 HOURS
215 05  P  OTHER HEART ASSIST SYSTEM IMPLANT
216 05  P  CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC
217 05  P  CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC
218 05  P  CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC
219 05  P  CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
220 05  P  CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
221 05  P  CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC
222 05  P  CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITH MCC
223 05  P  CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITHOUT MCC
224 05  P  CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITH MCC
225 05  P  CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITHOUT MCC
226 05  P  CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC
227 05  P  CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
228 05  P  OTHER CARDIOTHORACIC PROCEDURES WITH MCC
229 05  P  OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC
231 05  P  CORONARY BYPASS WITH PTCA WITH MCC
232 05  P  CORONARY BYPASS WITH PTCA WITHOUT MCC
233 05  P  CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCC
234 05  P  CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC
235 05  P  CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC
236 05  P  CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
239 05  P  AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC
240 05  P  AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC
241 05  P  AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC
242 05  P  PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC
243 05  P  PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC
244 05  P  PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC
245 05  P  AICD GENERATOR PROCEDURES
246 05  P  PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS
247 05  P  PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC
248 05  P  PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS
249 05  P  PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC
250 05  P  PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC
251 05  P  PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC
252 05  P  OTHER VASCULAR PROCEDURES WITH MCC
253 05  P  OTHER VASCULAR PROCEDURES WITH CC
254 05  P  OTHER VASCULAR PROCEDURES WITHOUT CC/MCC
255 05  P  UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC
256 05  P  UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC
257 05  P  UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC
258 05  P  CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC
259 05  P  CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC
260 05  P  CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC
261 05  P  CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC
262 05  P  CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC
263 05  P  VEIN LIGATION AND STRIPPING
264 05  P  OTHER CIRCULATORY SYSTEM O.R. PROCEDURES
265 05  P  AICD LEAD PROCEDURES
266 05  P  ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITH MCC
267 05  P  ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITHOUT MCC
268 05  P  AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC
269 05  P  AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC
270 05  P  OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC
271 05  P  OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC
272 05  P  OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC
273 05  P  PERCUTANEOUS INTRACARDIAC PROCEDURES WITH MCC
274 05  P  PERCUTANEOUS INTRACARDIAC PROCEDURES WITHOUT MCC
280 05  M  ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC
281 05  M  ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC
282 05  M  ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC
283 05  M  ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC
284 05  M  ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC
285 05  M  ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC
286 05  M  CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATETERIZATION WITH MCC
287 05  M  CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATETERIZATION WITHOUT MCC
288 05  M  ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC
289 05  M  ACUTE AND SUBACUTE ENDOCARDITIS WITH CC
290 05  M  ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC
291 05  M  HEART FAILURE AND SHOCK WITH MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)
292 05  M  HEART FAILURE AND SHOCK WITH CC
293 05  M  HEART FAILURE AND SHOCK WITHOUT CC/MCC
294 05  M  DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC
295 05  M  DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC
296 05  P  CARDIAC ARREST, UNEXPLAINED WITH MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)
297 05  M  CARDIAC ARREST, UNEXPLAINED WITH CC
298 05  M  CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC
299 05  M  PERIPHERAL VASCULAR DISORDERS WITH MCC
300 05  M  PERIPHERAL VASCULAR DISORDERS WITH CC
301 05  M  PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC
302 05  M  ATHEROSCLEROSIS WITH MCC
303 05  M  ATHEROSCLEROSIS WITHOUT MCC
304 05  M  HYPERTENSION WITH MCC
305 05  M  HYPERTENSION WITHOUT MCC
306 05  M  CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC
307 05  M  CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC
308 05  M  CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC
309 05  M  CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC
310 05  M  CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC
311 05  M  ANGINA PECTORIS
312 05  M  SYNCOPE AND COLLAPSE
313 05  M  CHEST PAIN
314 05  M  OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC
315 05  M  OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC
316 05  M  OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC
326 06  P  STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC
327 06  P  STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC
328 06  P  STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC
329 06  P  MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC
330 06  P  MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
331 06  P  MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC
332 06  P  RECTAL RESECTION WITH MCC
333 06  P  RECTAL RESECTION WITH CC
334 06  P  RECTAL RESECTION WITHOUT CC/MCC
335 06  P  PERITONEAL ADHESIOLYSIS WITH MCC
336 06  P  PERITONEAL ADHESIOLYSIS WITH CC
337 06  P  PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC
338 06  P  APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC
339 06  P  APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
340 06  P  APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
341 06  P  APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC
342 06  P  APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
343 06  P  APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
344 06  P  MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC
345 06  P  MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
346 06  P  MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC
347 06  P  ANAL AND STOMAL PROCEDURES WITH MCC
348 06  P  ANAL AND STOMAL PROCEDURES WITH CC
349 06  P  ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC
350 06  P  INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC
351 06  P  INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC
352 06  P  INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC
353 06  P  HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC
354 06  P  HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC
355 06  P  HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC
356 06  P  OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC
357 06  P  OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC
358 06  P  OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
368 06  M  MAJOR ESOPHAGEAL DISORDERS WITH MCC
369 06  M  MAJOR ESOPHAGEAL DISORDERS WITH CC
370 06  M  MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC
371 06  M  MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC
372 06  M  MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC
373 06  M  MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC
374 06  M  DIGESTIVE MALIGNANCY WITH MCC
375 06  M  DIGESTIVE MALIGNANCY WITH CC
376 06  M  DIGESTIVE MALIGNANCY WITHOUT CC/MCC
377 06  M  G.I. HEMORRHAGE WITH MCC
378 06  M  G.I. HEMORRHAGE WITH CC
379 06  M  G.I. HEMORRHAGE WITHOUT CC/MCC
380 06  M  COMPLICATED PEPTIC ULCER WITH MCC
381 06  M  COMPLICATED PEPTIC ULCER WITH CC
382 06  M  COMPLICATED PEPTIC ULCER WITHOUT CC/MCC
383 06  M  UNCOMPLICATED PEPTIC ULCER WITH MCC
384 06  M  UNCOMPLICATED PEPTIC ULCER WITHOUT MCC
385 06  M  INFLAMMATORY BOWEL DISEASE WITH MCC
386 06  M  INFLAMMATORY BOWEL DISEASE WITH CC
387 06  M  INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC
388 06  M  G.I. OBSTRUCTION WITH MCC
389 06  M  G.I. OBSTRUCTION WITH CC
390 06  M  G.I. OBSTRUCTION WITHOUT CC/MCC
391 06  M  ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC
392 06  M  ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC
393 06  M  OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC
394 06  M  OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC
395 06  M  OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
405 07  P  PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC
406 07  P  PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC
407 07  P  PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC
408 07  P  BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC
409 07  P  BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC
410 07  P  BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC
411 07  P  CHOLECYSTECTOMY WITH C.D.E. WITH MCC
