:======================================================================:
|     Appendix A List of MS-DRGs Version 42.0     |
057 01  M  Degenerative Nervous System Disorders without MCC
058 01  M  Multiple Sclerosis and Cerebellar Ataxia with MCC
059 01  M  Multiple Sclerosis and Cerebellar Ataxia with CC
060 01  M  Multiple Sclerosis and Cerebellar Ataxia without CC/MCC
061 01  M  Ischemic Stroke, Precerebral Occlusion or Transient Ischemia with Thrombolytic Agent with MCC
062 01  M  Ischemic Stroke, Precerebral Occlusion or Transient Ischemia with Thrombolytic Agent with CC
063 01  M  Ischemic Stroke, Precerebral Occlusion or Transient Ischemia with Thrombolytic Agent without CC/MCC
064 01  M  Intracranial Hemorrhage or Cerebral Infarction with MCC
065 01  M  Intracranial Hemorrhage or Cerebral Infarction with CC or TPA in 24 Hours
066 01  M  Intracranial Hemorrhage or Cerebral Infarction without CC/MCC
067 01  M  Nonspecific CVA and Precerebral Occlusion without Infarction with MCC
068 01  M  Nonspecific CVA and Precerebral Occlusion without Infarction without MCC
069 01  M  Transient Ischemia without Thrombolytic
070 01  M  Nonspecific Cerebrovascular Disorders with MCC
071 01  M  Nonspecific Cerebrovascular Disorders with CC
072 01  M  Nonspecific Cerebrovascular Disorders without CC/MCC
073 01  M  Cranial and Peripheral Nerve Disorders with MCC
074 01  M  Cranial and Peripheral Nerve Disorders without MCC
075 01  M  Viral Meningitis with CC/MCC
076 01  M  Viral Meningitis without CC/MCC
077 01  M  Hypertensive Encephalopathy with MCC
078 01  M  Hypertensive Encephalopathy with CC
079 01  M  Hypertensive Encephalopathy without CC/MCC
080 01  M  Nontraumatic Stupor and Coma with MCC
081 01  M  Nontraumatic Stupor and Coma without MCC
082 01  M  Traumatic Stupor and Coma >1 Hour with MCC
083 01  M  Traumatic Stupor and Coma >1 Hour with CC
084 01  M  Traumatic Stupor and Coma >1 Hour without CC/MCC
085 01  M  Traumatic Stupor and Coma <1 Hour with MCC
086 01  M  Traumatic Stupor and Coma <1 Hour with CC
087 01  M  Traumatic Stupor and Coma <1 Hour without CC/MCC
088 01  M  Concussion with MCC
089 01  M  Concussion with CC
090 01  M  Concussion without CC/MCC
091 01  M  Other Disorders of Nervous System with MCC
092 01  M  Other Disorders of Nervous System with CC
093 01  M  Other Disorders of Nervous System without CC/MCC
094 01  M  Bacterial and Tuberculous Infections of Nervous System with MCC
095 01  M  Bacterial and Tuberculous Infections of Nervous System with CC
096 01  M  Bacterial and Tuberculous Infections of Nervous System without CC/MCC
097 01  M  Non-Bacterial Infection of Nervous System Except Viral Meningitis with MCC
098 01  M  Non-Bacterial Infection of Nervous System Except Viral Meningitis with CC
099 01  M  Non-Bacterial Infection of Nervous System Except Viral Meningitis without CC/MCC
100 01  M  Seizures with MCC
101 01  M  Seizures without MCC
102 01  M  Headaches with MCC
103 01  M  Headaches without MCC
113 02  P  Orbital Procedures with CC/MCC
114 02  P  Orbital Procedures without CC/MCC
115 02  P  Extraocular Procedures Except Orbit
116 02  P  Intraocular Procedures with CC/MCC
117 02  P  Intraocular Procedures without CC/MCC
121 02  M  Acute Major Eye Infections with CC/MCC
122 02  M  Acute Major Eye Infections without CC/MCC
123 02  M  Neurological Eye Disorders
124 02  M  Other Disorders of the Eye with MCC or Thrombolytic Agent
125 02  M  Other Disorders of the Eye without MCC
135 03  P  Sinus and Mastoid Procedures with CC/MCC
136 03  P  Sinus and Mastoid Procedures without CC/MCC
137 03  P  Mouth Procedures with CC/MCC
138 03  P  Mouth Procedures without CC/MCC
139 03  P  Salivary Gland Procedures
140 03  P  Major Head and Neck Procedures with MCC
141 03  P  Major Head and Neck Procedures with CC
142 03  P  Major Head and Neck Procedures without CC/MCC
143 03  P  Other Ear, Nose, Mouth and Throat O.R. Procedures with MCC
144 03  P  Other Ear, Nose, Mouth and Throat O.R. Procedures with CC
145 03  P  Other Ear, Nose, Mouth and Throat O.R. Procedures without CC/MCC
146 03  M  Ear, Nose, Mouth and Throat Malignancy with MCC
147 03  M  Ear, Nose, Mouth and Throat Malignancy with CC
148 03  M  Ear, Nose, Mouth and Throat Malignancy without CC/MCC
149 03  M  Dysequilibrium
150 03  M  Epistaxis with MCC
151 03  M  Epistaxis without MCC
152 03  M  Otitis Media and URI with MCC
153 03  M  Otitis Media and URI without MCC
154 03  M  Other Ear, Nose, Mouth and Throat Diagnoses with MCC
155 03  M  Other Ear, Nose, Mouth and Throat Diagnoses with CC
156 03  M  Other Ear, Nose, Mouth and Throat Diagnoses without CC/MCC
157 03  M  Dental and Oral Diseases with MCC
158 03  M  Dental and Oral Diseases with CC
159 03  M  Dental and Oral Diseases without CC/MCC
163 04  P  Major Chest Procedures with MCC
164 04  P  Major Chest Procedures with CC
165 04  P  Major Chest Procedures without CC/MCC
166 04  P  Other Respiratory System O.R. Procedures with MCC
167 04  P  Other Respiratory System O.R. Procedures with CC
168 04  P  Other Respiratory System O.R. Procedures without CC/MCC
173 04  P  Ultrasound Accelerated and Other Thrombolysis with Principal Diagnosis Pulmonary Embolism
175 04  M  Pulmonary Embolism with MCC or Acute Cor Pulmonale
176 04  M  Pulmonary Embolism without MCC
177 04  M  Respiratory Infections and Inflammations with MCC
178 04  M  Respiratory Infections and Inflammations with CC
179 04  M  Respiratory Infections and Inflammations without CC/MCC
180 04  M  Respiratory Neoplasms with MCC
181 04  M  Respiratory Neoplasms with CC
182 04  M  Respiratory Neoplasms without CC/MCC
183 04  M  Major Chest Trauma with MCC
184 04  M  Major Chest Trauma with CC
185 04  M  Major Chest Trauma without CC/MCC
186 04  M  Pleural Effusion with MCC
187 04  M  Pleural Effusion with CC
188 04  M  Pleural Effusion without CC/MCC
189 04  M  Pulmonary Edema and Respiratory Failure
190 04  M  Chronic Obstructive Pulmonary Disease with MCC
191 04  M  Chronic Obstructive Pulmonary Disease with CC
192 04  M  Chronic Obstructive Pulmonary Disease without CC/MCC
193 04  M  Simple Pneumonia and Pleurisy with MCC
194 04  M  Simple Pneumonia and Pleurisy with CC
195 04  M  Simple Pneumonia and Pleurisy without CC/MCC
196 04  M  Interstitial Lung Disease with MCC
197 04  M  Interstitial Lung Disease with CC
198 04  M  Interstitial Lung Disease without CC/MCC
199 04  M  Pneumothorax with MCC
200 04  M  Pneumothorax with CC
201 04  M  Pneumothorax without CC/MCC
202 04  M  Bronchitis and Asthma with CC/MCC
203 04  M  Bronchitis and Asthma without CC/MCC
204 04  M  Respiratory Signs and Symptoms
205 04  M  Other Respiratory System Diagnoses with MCC
206 04  M  Other Respiratory System Diagnoses without MCC
207 04  M  Respiratory System Diagnosis with Ventilator Support >96 Hours
208 04  M  Respiratory System Diagnosis with Ventilator Support <=96 Hours
212 05  P  Concomitant Aortic and Mitral Valve Procedures
215 05  P  Other Heart Assist System Implant
216 05  P  Cardiac Valve and Other Major Cardiothoracic Procedures with Cardiac Catheterization with MCC
217 05  P  Cardiac Valve and Other Major Cardiothoracic Procedures with Cardiac Catheterization with CC
218 05  P  Cardiac Valve and Other Major Cardiothoracic Procedures with Cardiac Catheterization without CC/MCC
219 05  P  Cardiac Valve and Other Major Cardiothoracic Procedures without Cardiac Catheterization with MCC
220 05  P  Cardiac Valve and Other Major Cardiothoracic Procedures without Cardiac Catheterization with CC
221 05  P  Cardiac Valve and Other Major Cardiothoracic Procedures without Cardiac Catheterization without CC/MCC
228 05  P  Other Cardiothoracic Procedures with MCC
229 05  P  Other Cardiothoracic Procedures without MCC
231 05  P  Coronary Bypass with PTCA with MCC
232 05  P  Coronary Bypass with PTCA without MCC
233 05  P  Coronary Bypass with Cardiac Catheterization or Open Ablation with MCC
234 05  P  Coronary Bypass with Cardiac Catheterization or Open Ablation without MCC
235 05  P  Coronary Bypass without Cardiac Catheterization with MCC
236 05  P  Coronary Bypass without Cardiac Catheterization without MCC
239 05  P  Amputation for Circulatory System Disorders Except Upper Limb and Toe with MCC
240 05  P  Amputation for Circulatory System Disorders Except Upper Limb and Toe with CC
241 05  P  Amputation for Circulatory System Disorders Except Upper Limb and Toe without CC/MCC
242 05  P  Permanent Cardiac Pacemaker Implant with MCC
243 05  P  Permanent Cardiac Pacemaker Implant with CC
244 05  P  Permanent Cardiac Pacemaker Implant without CC/MCC
245 05  P  AICD Generator Procedures
250 05  P  Percutaneous Cardiovascular Procedures without Intraluminal Device with MCC
251 05  P  Percutaneous Cardiovascular Procedures without Intraluminal Device without MCC
252 05  P  Other Vascular Procedures with MCC
253 05  P  Other Vascular Procedures with CC
254 05  P  Other Vascular Procedures without CC/MCC
255 05  P  Upper Limb and Toe Amputation for Circulatory System Disorders with MCC
256 05  P  Upper Limb and Toe Amputation for Circulatory System Disorders with CC
257 05  P  Upper Limb and Toe Amputation for Circulatory System Disorders without CC/MCC
258 05  P  Cardiac Pacemaker Device Replacement with MCC
259 05  P  Cardiac Pacemaker Device Replacement without MCC
260 05  P  Cardiac Pacemaker Revision Except Device Replacement with MCC
261 05  P  Cardiac Pacemaker Revision Except Device Replacement with CC
262 05  P  Cardiac Pacemaker Revision Except Device Replacement without CC/MCC
263 05  P  Vein Ligation and Stripping
264 05  P  Other Circulatory System O.R. Procedures
265 05  P  AICD Lead Procedures
266 05  P  Endovascular Cardiac Valve Replacement and Supplement Procedures with MCC
267 05  P  Endovascular Cardiac Valve Replacement and Supplement Procedures without MCC
268 05  P  Aortic and Heart Assist Procedures Except Pulsation Balloon with MCC
269 05  P  Aortic and Heart Assist Procedures Except Pulsation Balloon without MCC
270 05  P  Other Major Cardiovascular Procedures with MCC
271 05  P  Other Major Cardiovascular Procedures with CC
272 05  P  Other Major Cardiovascular Procedures without CC/MCC
273 05  P  Percutaneous and Other Intracardiac Procedures with MCC
274 05  P  Percutaneous and Other Intracardiac Procedures without MCC
275 05  P  Cardiac Defibrillator Implant with Cardiac Catheterization and MCC
276 05  P  Cardiac Defibrillator Implant with MCC or Carotid Sinus Neurostimulator
277 05  P  Cardiac Defibrillator Implant without MCC
278 05  P  Ultrasound Accelerated and Other Thrombolysis of Peripheral Vascular Structures with MCC
279 05  P  Ultrasound Accelerated and Other Thrombolysis of Peripheral Vascular Structures without MCC
280 05  M  Acute Myocardial Infarction, Discharged Alive with MCC
281 05  M  Acute Myocardial Infarction, Discharged Alive with CC
282 05  M  Acute Myocardial Infarction, Discharged Alive without CC/MCC
283 05  M  Acute Myocardial Infarction, Expired with MCC
284 05  M  Acute Myocardial Infarction, Expired with CC
285 05  M  Acute Myocardial Infarction, Expired without CC/MCC
286 05  M  Circulatory Disorders Except AMI, with Cardiac Catheterization with MCC
287 05  M  Circulatory Disorders Except AMI, with Cardiac Catheterization without MCC
288 05  M  Acute and Subacute Endocarditis with MCC
289 05  M  Acute and Subacute Endocarditis with CC
290 05  M  Acute and Subacute Endocarditis without CC/MCC
291 05  M  Heart Failure and Shock with MCC
292 05  M  Heart Failure and Shock with CC
293 05  M  Heart Failure and Shock without CC/MCC
294 05  M  Deep Vein Thrombophlebitis with CC/MCC
295 05  M  Deep Vein Thrombophlebitis without CC/MCC
296 05  M  Cardiac Arrest, Unexplained with MCC
297 05  M  Cardiac Arrest, Unexplained with CC
298 05  M  Cardiac Arrest, Unexplained without CC/MCC
299 05  M  Peripheral Vascular Disorders with MCC
300 05  M  Peripheral Vascular Disorders with CC
301 05  M  Peripheral Vascular Disorders without CC/MCC
302 05  M  Atherosclerosis with MCC
303 05  M  Atherosclerosis without MCC
304 05  M  Hypertension with MCC
305 05  M  Hypertension without MCC
306 05  M  Cardiac Congenital and Valvular Disorders with MCC
307 05  M  Cardiac Congenital and Valvular Disorders without MCC
308 05  M  Cardiac Arrhythmia and Conduction Disorders with MCC
309 05  M  Cardiac Arrhythmia and Conduction Disorders with CC
310 05  M  Cardiac Arrhythmia and Conduction Disorders without CC/MCC
311 05  M  Angina Pectoris
312 05  M  Syncope and Collapse
313 05  M  Chest Pain
314 05  M  Other Circulatory System Diagnoses with MCC
315 05  M  Other Circulatory System Diagnoses with CC
316 05  M  Other Circulatory System Diagnoses without CC/MCC
317 05  P  Concomitant Left Atrial Appendage Closure and Cardiac Ablation
319 05  P  Other Endovascular Cardiac Valve Procedures with MCC
320 05  P  Other Endovascular Cardiac Valve Procedures without MCC
321 05  P  Percutaneous Cardiovascular Procedures with Intraluminal Device with MCC or 4+ Arteries/Intraluminal Devices
322 05  P  Percutaneous Cardiovascular Procedures with Intraluminal Device without MCC
323 05  P  Coronary Intravascular Lithotripsy with Intraluminal Device with MCC
324 05  P  Coronary Intravascular Lithotripsy with Intraluminal Device without MCC
325 05  P  Coronary Intravascular Lithotripsy without Intraluminal Device
326 06  P  Stomach, Esophageal and Duodenal Procedures with MCC
327 06  P  Stomach, Esophageal and Duodenal Procedures with CC
328 06  P  Stomach, Esophageal and Duodenal Procedures without CC/MCC
329 06  P  Major Small and Large Bowel Procedures with MCC
330 06  P  Major Small and Large Bowel Procedures with CC
331 06  P  Major Small and Large Bowel Procedures without CC/MCC
332 06  P  Rectal Resection with MCC
333 06  P  Rectal Resection with CC
334 06  P  Rectal Resection without CC/MCC
335 06  P  Peritoneal Adhesiolysis with MCC
336 06  P  Peritoneal Adhesiolysis with CC
337 06  P  Peritoneal Adhesiolysis without CC/MCC
344 06  P  Minor Small and Large Bowel Procedures with MCC
345 06  P  Minor Small and Large Bowel Procedures with CC
346 06  P  Minor Small and Large Bowel Procedures without CC/MCC
347 06  P  Anal and Stomal Procedures with MCC
348 06  P  Anal and Stomal Procedures with CC
349 06  P  Anal and Stomal Procedures without CC/MCC
350 06  P  Inguinal and Femoral Hernia Procedures with MCC
351 06  P  Inguinal and Femoral Hernia Procedures with CC
352 06  P  Inguinal and Femoral Hernia Procedures without CC/MCC
353 06  P  Hernia Procedures Except Inguinal and Femoral with MCC
354 06  P  Hernia Procedures Except Inguinal and Femoral with CC
355 06  P  Hernia Procedures Except Inguinal and Femoral without CC/MCC
356 06  P  Other Digestive System O.R. Procedures with MCC
357 06  P  Other Digestive System O.R. Procedures with CC
358 06  P  Other Digestive System O.R. Procedures without CC/MCC
368 06  M  Major Esophageal Disorders with MCC
369 06  M  Major Esophageal Disorders with CC
370 06  M  Major Esophageal Disorders without CC/MCC
371 06  M  Major Gastrointestinal Disorders and Peritoneal Infections with MCC
372 06  M  Major Gastrointestinal Disorders and Peritoneal Infections with CC
373 06  M  Major Gastrointestinal Disorders and Peritoneal Infections without CC/MCC
374 06  M  Digestive Malignancy with MCC
375 06  M  Digestive Malignancy with CC
376 06  M  Digestive Malignancy without CC/MCC
377 06  M  Gastrointestinal Hemorrhage with MCC
378 06  M  Gastrointestinal Hemorrhage with CC
379 06  M  Gastrointestinal Hemorrhage without CC/MCC
380 06  M  Complicated Peptic Ulcer with MCC
381 06  M  Complicated Peptic Ulcer with CC
382 06  M  Complicated Peptic Ulcer without CC/MCC
383 06  M  Uncomplicated Peptic Ulcer with MCC
384 06  M  Uncomplicated Peptic Ulcer without MCC
385 06  M  Inflammatory Bowel Disease with MCC
386 06  M  Inflammatory Bowel Disease with CC
387 06  M  Inflammatory Bowel Disease without CC/MCC
388 06  M  Gastrointestinal Obstruction with MCC
389 06  M  Gastrointestinal Obstruction with CC
390 06  M  Gastrointestinal Obstruction without CC/MCC
391 06  M  Esophagitis, Gastroenteritis and Miscellaneous Digestive Disorders with MCC
392 06  M  Esophagitis, Gastroenteritis and Miscellaneous Digestive Disorders without MCC
393 06  M  Other Digestive System Diagnoses with MCC
394 06  M  Other Digestive System Diagnoses with CC
395 06  M  Other Digestive System Diagnoses without CC/MCC
397 06  P  Appendix Procedures with MCC
398 06  P  Appendix Procedures with CC
399 06  P  Appendix Procedures without CC/MCC
402 08  P  Single Level Combined Anterior and Posterior Spinal Fusion Except Cervical
405 07  P  Pancreas, Liver and Shunt Procedures with MCC
406 07  P  Pancreas, Liver and Shunt Procedures with CC
407 07  P  Pancreas, Liver and Shunt Procedures without CC/MCC
408 07  P  Biliary Tract Procedures Except Only Cholecystectomy with or without C.D.E. with MCC
409 07  P  Biliary Tract Procedures Except Only Cholecystectomy with or without C.D.E. with CC
410 07  P  Biliary Tract Procedures Except Only Cholecystectomy with or without C.D.E. without CC/MCC
411 07  P  Cholecystectomy with C.D.E. with MCC
412 07  P  Cholecystectomy with C.D.E. with CC
413 07  P  Cholecystectomy with C.D.E. without CC/MCC
414 07  P  Cholecystectomy Except By Laparoscope without C.D.E. with MCC
415 07  P  Cholecystectomy Except By Laparoscope without C.D.E. with CC
416 07  P  Cholecystectomy Except By Laparoscope without C.D.E. without CC/MCC
417 07  P  Laparoscopic Cholecystectomy without C.D.E. with MCC
418 07  P  Laparoscopic Cholecystectomy without C.D.E. with CC
419 07  P  Laparoscopic Cholecystectomy without C.D.E. without CC/MCC
420 07  P  Hepatobiliary Diagnostic Procedures with MCC
421 07  P  Hepatobiliary Diagnostic Procedures with CC
422 07  P  Hepatobiliary Diagnostic Procedures without CC/MCC
423 07  P  Other Hepatobiliary or Pancreas O.R. Procedures with MCC
424 07  P  Other Hepatobiliary or Pancreas O.R. Procedures with CC
425 07  P  Other Hepatobiliary or Pancreas O.R. Procedures without CC/MCC
426 08  P  Multiple Level Combined Anterior and Posterior Spinal Fusion Except Cervical with MCC or Custom-Made Anatomically Designed Interbody Fusion Device
427 08  P  Multiple Level Combined Anterior and Posterior Spinal Fusion Except Cervical with CC
428 08  P  Multiple Level Combined Anterior and Posterior Spinal Fusion Except Cervical without CC/MCC
429 08  P  Combined Anterior and Posterior Cervical Spinal Fusion with MCC
430 08  P  Combined Anterior and Posterior Cervical Spinal Fusion without MCC
432 07  M  Cirrhosis and Alcoholic Hepatitis with MCC
433 07  M  Cirrhosis and Alcoholic Hepatitis with CC
434 07  M  Cirrhosis and Alcoholic Hepatitis without CC/MCC
435 07  M  Malignancy of Hepatobiliary System or Pancreas with MCC
436 07  M  Malignancy of Hepatobiliary System or Pancreas with CC
437 07  M  Malignancy of Hepatobiliary System or Pancreas without CC/MCC
438 07  M  Disorders of Pancreas Except Malignancy with MCC
439 07  M  Disorders of Pancreas Except Malignancy with CC
440 07  M  Disorders of Pancreas Except Malignancy without CC/MCC
441 07  M  Disorders of Liver Except Malignancy, Cirrhosis or Alcoholic Hepatitis with MCC
442 07  M  Disorders of Liver Except Malignancy, Cirrhosis or Alcoholic Hepatitis with CC
443 07  M  Disorders of Liver Except Malignancy, Cirrhosis or Alcoholic Hepatitis without CC/MCC
444 07  M  Disorders of the Biliary Tract with MCC
445 07  M  Disorders of the Biliary Tract with CC
446 07  M  Disorders of the Biliary Tract without CC/MCC
447 08  P  Multiple Level Spinal Fusion Except Cervical with MCC or Custom-Made Anatomically Designed Interbody Fusion Device
448 08  P  Multiple Level Spinal Fusion Except Cervical without MCC
450 08  P  Single Level Spinal Fusion Except Cervical with MCC or Custom-Made Anatomically Designed Interbody Fusion Device
451 08  P  Single Level Spinal Fusion Except Cervical without MCC
456 08  P  Spinal Fusion Except Cervical with Spinal Curvature, Malignancy, Infection or Extensive Fusions with MCC
457 08  P  Spinal Fusion Except Cervical with Spinal Curvature, Malignancy, Infection or Extensive Fusions with CC
458 08  P  Spinal Fusion Except Cervical with Spinal Curvature, Malignancy, Infection or Extensive Fusions without CC/MCC
461 08  P  Bilateral or Multiple Major Joint Procedures of Lower Extremity with MCC
462 08  P  Bilateral or Multiple Major Joint Procedures of Lower Extremity without MCC
463 08  P  Wound Debridement and Skin Graft Except Hand for Musculoskeletal and Connective Tissue Disorders with MCC
464 08  P  Wound Debridement and Skin Graft Except Hand for Musculoskeletal and Connective Tissue Disorders with CC
465 08  P  Wound Debridement and Skin Graft Except Hand for Musculoskeletal and Connective Tissue Disorders without CC/MCC
466 08  P  Revision of Hip or Knee Replacement with MCC
467 08  P  Revision of Hip or Knee Replacement with CC
468 08  P  Revision of Hip or Knee Replacement without CC/MCC
469 08  P  Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity with MCC or Total Ankle Replacement
470 08  P  Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC
471 08  P  Cervical Spinal Fusion with MCC
472 08  P  Cervical Spinal Fusion with CC
473 08  P  Cervical Spinal Fusion without CC/MCC
474 08  P  Amputation for Musculoskeletal System and Connective Tissue Disorders with MCC
475 08  P  Amputation for Musculoskeletal System and Connective Tissue Disorders with CC
476 08  P  Amputation for Musculoskeletal System and Connective Tissue Disorders without CC/MCC
477 08  P  Biopsies of Musculoskeletal System and Connective Tissue with MCC
478 08  P  Biopsies of Musculoskeletal System and Connective Tissue with CC
479 08  P  Biopsies of Musculoskeletal System and Connective Tissue without CC/MCC
480 08  P  Hip and Femur Procedures Except Major Joint with MCC
481 08  P  Hip and Femur Procedures Except Major Joint with CC
482 08  P  Hip and Femur Procedures Except Major Joint without CC/MCC
483 08  P  Major Joint or Limb Reattachment Procedures of Upper Extremities
485 08  P  Knee Procedures with Principal Diagnosis of Infection with MCC
486 08  P  Knee Procedures with Principal Diagnosis of Infection with CC
487 08  P  Knee Procedures with Principal Diagnosis of Infection without CC/MCC
488 08  P  Knee Procedures without Principal Diagnosis of Infection with CC/MCC
489 08  P  Knee Procedures without Principal Diagnosis of Infection without CC/MCC
492 08  P  Lower Extremity and Humerus Procedures Except Hip, Foot and Femur with MCC
493 08  P  Lower Extremity and Humerus Procedures Except Hip, Foot and Femur with CC
494 08  P  Lower Extremity and Humerus Procedures Except Hip, Foot and Femur without CC/MCC
495 08  P  Local Excision and Removal of Internal Fixation Devices Except Hip and Femur with MCC
496 08  P  Local Excision and Removal of Internal Fixation Devices Except Hip and Femur with CC
497 08  P  Local Excision and Removal of Internal Fixation Devices Except Hip and Femur without CC/MCC
498 08  P  Local Excision and Removal of Internal Fixation Devices of Hip and Femur with CC/MCC
499 08  P  Local Excision and Removal of Internal Fixation Devices of Hip and Femur without CC/MCC
500 08  P  Soft Tissue Procedures with MCC
501 08  P  Soft Tissue Procedures with CC
502 08  P  Soft Tissue Procedures without CC/MCC
503 08  P  Foot Procedures with MCC
504 08  P  Foot Procedures with CC
505 08  P  Foot Procedures without CC/MCC
506 08  P  Major Thumb or Joint Procedures
507 08  P  Major Shoulder or Elbow Joint Procedures with CC/MCC
508 08  P  Major Shoulder or Elbow Joint Procedures without CC/MCC
509 08  P  Arthroscopy
510 08  P  Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC
511 08  P  Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with CC
512 08  P  Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures without CC/MCC
513 08  P  Hand or Wrist Procedures, Except Major Thumb or Joint Procedures with CC/MCC
514 08  P  Hand or Wrist Procedures, Except Major Thumb or Joint Procedures without CC/MCC
515 08  P  Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC
516 08  P  Other Musculoskeletal System and Connective Tissue O.R. Procedures with CC
517 08  P  Other Musculoskeletal System and Connective Tissue O.R. Procedures without CC/MCC
518 08  P  Back and Neck Procedures Except Spinal Fusion with MCC or Disc Device or Neurostimulator
519 08  P  Back and Neck Procedures Except Spinal Fusion with CC
520 08  P  Back and Neck Procedures Except Spinal Fusion without CC/MCC
521 08  P  Hip Replacement with Principal Diagnosis of Hip Fracture with MCC
522 08  P  Hip Replacement with Principal Diagnosis of Hip Fracture without MCC
533 08  M  Fractures of Femur with MCC
534 08  M  Fractures of Femur without MCC
535 08  M  Fractures of Hip and Pelvis with MCC
536 08  M  Fractures of Hip and Pelvis without MCC
537 08  M  Sprains, Strains, and Dislocations of Hip, Pelvis and Thigh with CC/MCC
538 08  M  Sprains, Strains, and Dislocations of Hip, Pelvis and Thigh without CC/MCC
539 08  M  Osteomyelitis with MCC
540 08  M  Osteomyelitis with CC
541 08  M  Osteomyelitis without CC/MCC
542 08  M  Pathological Fractures and Musculoskeletal and Connective Tissue Malignancy with MCC
543 08  M  Pathological Fractures and Musculoskeletal and Connective Tissue Malignancy with CC
544 08  M  Pathological Fractures and Musculoskeletal and Connective Tissue Malignancy without CC/MCC
545 08  M  Connective Tissue Disorders with MCC
546 08  M  Connective Tissue Disorders with CC
547 08  M  Connective Tissue Disorders without CC/MCC
548 08  M  Septic Arthritis with MCC
549 08  M  Septic Arthritis with CC
550 08  M  Septic Arthritis without CC/MCC
551 08  M  Medical Back Problems with MCC
552 08  M  Medical Back Problems without MCC
553 08  M  Bone Diseases and Arthropathies with MCC
554 08  M  Bone Diseases and Arthropathies without MCC
555 08  M  Signs and Symptoms of Musculoskeletal System and Connective Tissue with MCC
556 08  M  Signs and Symptoms of Musculoskeletal System and Connective Tissue without MCC
557 08  M  Tendonitis, Myositis and Bursitis with MCC
