=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  M02011  Arthropathy following intestinal bypass, right shoulder
  M02012  Arthropathy following intestinal bypass, left shoulder
  M02019  Arthropathy following intestinal bypass, unspecified shoulder
  M02021  Arthropathy following intestinal bypass, right elbow
  M02022  Arthropathy following intestinal bypass, left elbow
  M02029  Arthropathy following intestinal bypass, unspecified elbow
  M02031  Arthropathy following intestinal bypass, right wrist
  M02032  Arthropathy following intestinal bypass, left wrist
  M02039  Arthropathy following intestinal bypass, unspecified wrist
  M02041  Arthropathy following intestinal bypass, right hand
  M02042  Arthropathy following intestinal bypass, left hand
  M02049  Arthropathy following intestinal bypass, unspecified hand
  M02051  Arthropathy following intestinal bypass, right hip
  M02052  Arthropathy following intestinal bypass, left hip
  M02059  Arthropathy following intestinal bypass, unspecified hip
  M02061  Arthropathy following intestinal bypass, right knee
  M02062  Arthropathy following intestinal bypass, left knee
  M02069  Arthropathy following intestinal bypass, unspecified knee
  M02071  Arthropathy following intestinal bypass, right ankle and foot
  M02072  Arthropathy following intestinal bypass, left ankle and foot
  M02079  Arthropathy following intestinal bypass, unspecified ankle and foot
  M0208   Arthropathy following intestinal bypass, vertebrae
  M0209   Arthropathy following intestinal bypass, multiple sites
  M0210   Postdysenteric arthropathy, unspecified site
  M02111  Postdysenteric arthropathy, right shoulder
  M02112  Postdysenteric arthropathy, left shoulder
  M02119  Postdysenteric arthropathy, unspecified shoulder
  M02121  Postdysenteric arthropathy, right elbow
  M02122  Postdysenteric arthropathy, left elbow
  M02129  Postdysenteric arthropathy, unspecified elbow
  M02131  Postdysenteric arthropathy, right wrist
  M02132  Postdysenteric arthropathy, left wrist
  M02139  Postdysenteric arthropathy, unspecified wrist
  M02141  Postdysenteric arthropathy, right hand
  M02142  Postdysenteric arthropathy, left hand
  M02149  Postdysenteric arthropathy, unspecified hand
  M02151  Postdysenteric arthropathy, right hip
  M02152  Postdysenteric arthropathy, left hip
  M02159  Postdysenteric arthropathy, unspecified hip
  M02161  Postdysenteric arthropathy, right knee
  M02162  Postdysenteric arthropathy, left knee
  M02169  Postdysenteric arthropathy, unspecified knee
  M02171  Postdysenteric arthropathy, right ankle and foot
  M02172  Postdysenteric arthropathy, left ankle and foot
  M02179  Postdysenteric arthropathy, unspecified ankle and foot
  M0218   Postdysenteric arthropathy, vertebrae
  M0219   Postdysenteric arthropathy, multiple sites
  M0220   Postimmunization arthropathy, unspecified site
  M02211  Postimmunization arthropathy, right shoulder
  M02212  Postimmunization arthropathy, left shoulder
  M02219  Postimmunization arthropathy, unspecified shoulder
  M02221  Postimmunization arthropathy, right elbow
  M02222  Postimmunization arthropathy, left elbow
  M02229  Postimmunization arthropathy, unspecified elbow
  M02231  Postimmunization arthropathy, right wrist
  M02232  Postimmunization arthropathy, left wrist
  M02239  Postimmunization arthropathy, unspecified wrist
  M02241  Postimmunization arthropathy, right hand
  M02242  Postimmunization arthropathy, left hand
  M02249  Postimmunization arthropathy, unspecified hand
  M02251  Postimmunization arthropathy, right hip
  M02252  Postimmunization arthropathy, left hip
  M02259  Postimmunization arthropathy, unspecified hip
  M02261  Postimmunization arthropathy, right knee
  M02262  Postimmunization arthropathy, left knee
  M02269  Postimmunization arthropathy, unspecified knee
  M02271  Postimmunization arthropathy, right ankle and foot
  M02272  Postimmunization arthropathy, left ankle and foot
  M02279  Postimmunization arthropathy, unspecified ankle and foot
  M0228   Postimmunization arthropathy, vertebrae
  M0229   Postimmunization arthropathy, multiple sites
  M0230   Reiter's disease, unspecified site
  M02311  Reiter's disease, right shoulder
  M02312  Reiter's disease, left shoulder
  M02319  Reiter's disease, unspecified shoulder
  M02321  Reiter's disease, right elbow
  M02322  Reiter's disease, left elbow
  M02329  Reiter's disease, unspecified elbow
  M02331  Reiter's disease, right wrist
  M02332  Reiter's disease, left wrist
  M02339  Reiter's disease, unspecified wrist
  M02341  Reiter's disease, right hand
  M02342  Reiter's disease, left hand
  M02349  Reiter's disease, unspecified hand
  M02351  Reiter's disease, right hip
  M02352  Reiter's disease, left hip
  M02359  Reiter's disease, unspecified hip
  M02361  Reiter's disease, right knee
  M02362  Reiter's disease, left knee
  M02369  Reiter's disease, unspecified knee
  M02371  Reiter's disease, right ankle and foot
  M02372  Reiter's disease, left ankle and foot
  M02379  Reiter's disease, unspecified ankle and foot
  M0238   Reiter's disease, vertebrae
  M0239   Reiter's disease, multiple sites
  M0280   Other reactive arthropathies, unspecified site
  M02811  Other reactive arthropathies, right shoulder
  M02812  Other reactive arthropathies, left shoulder
  M02819  Other reactive arthropathies, unspecified shoulder
  M02821  Other reactive arthropathies, right elbow
  M02822  Other reactive arthropathies, left elbow
  M02829  Other reactive arthropathies, unspecified elbow
  M02831  Other reactive arthropathies, right wrist
  M02832  Other reactive arthropathies, left wrist
  M02839  Other reactive arthropathies, unspecified wrist
  M02841  Other reactive arthropathies, right hand
  M02842  Other reactive arthropathies, left hand
  M02849  Other reactive arthropathies, unspecified hand
  M02851  Other reactive arthropathies, right hip
  M02852  Other reactive arthropathies, left hip
  M02859  Other reactive arthropathies, unspecified hip
  M02861  Other reactive arthropathies, right knee
  M02862  Other reactive arthropathies, left knee
  M02869  Other reactive arthropathies, unspecified knee
  M02871  Other reactive arthropathies, right ankle and foot
  M02872  Other reactive arthropathies, left ankle and foot
  M02879  Other reactive arthropathies, unspecified ankle and foot
  M0288   Other reactive arthropathies, vertebrae
  M0289   Other reactive arthropathies, multiple sites
  M029    Reactive arthropathy, unspecified
  M041    Periodic fever syndromes
  M042    Cryopyrin-associated periodic syndromes
  M048    Other autoinflammatory syndromes
  M049    Autoinflammatory syndrome, unspecified
  M0500   Felty's syndrome, unspecified site
  M05011  Felty's syndrome, right shoulder
  M05012  Felty's syndrome, left shoulder
  M05019  Felty's syndrome, unspecified shoulder
  M05021  Felty's syndrome, right elbow
  M05022  Felty's syndrome, left elbow
  M05029  Felty's syndrome, unspecified elbow
  M05031  Felty's syndrome, right wrist
  M05032  Felty's syndrome, left wrist
  M05039  Felty's syndrome, unspecified wrist
  M05041  Felty's syndrome, right hand
  M05042  Felty's syndrome, left hand
  M05049  Felty's syndrome, unspecified hand
  M05051  Felty's syndrome, right hip
  M05052  Felty's syndrome, left hip
  M05059  Felty's syndrome, unspecified hip
  M05061  Felty's syndrome, right knee
  M05062  Felty's syndrome, left knee
  M05069  Felty's syndrome, unspecified knee
  M05071  Felty's syndrome, right ankle and foot
  M05072  Felty's syndrome, left ankle and foot
  M05079  Felty's syndrome, unspecified ankle and foot
  M0509   Felty's syndrome, multiple sites
  M0520   Rheumatoid vasculitis with rheumatoid arthritis of unspecified site
  M05211  Rheumatoid vasculitis with rheumatoid arthritis of right shoulder
  M05212  Rheumatoid vasculitis with rheumatoid arthritis of left shoulder
  M05219  Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder
  M05221  Rheumatoid vasculitis with rheumatoid arthritis of right elbow
  M05222  Rheumatoid vasculitis with rheumatoid arthritis of left elbow
  M05229  Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow
  M05231  Rheumatoid vasculitis with rheumatoid arthritis of right wrist
  M05232  Rheumatoid vasculitis with rheumatoid arthritis of left wrist
  M05239  Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist
  M05241  Rheumatoid vasculitis with rheumatoid arthritis of right hand
  M05242  Rheumatoid vasculitis with rheumatoid arthritis of left hand
  M05249  Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand
  M05251  Rheumatoid vasculitis with rheumatoid arthritis of right hip
  M05252  Rheumatoid vasculitis with rheumatoid arthritis of left hip
  M05259  Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip
  M05261  Rheumatoid vasculitis with rheumatoid arthritis of right knee
  M05262  Rheumatoid vasculitis with rheumatoid arthritis of left knee
  M05269  Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee
  M05271  Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot
  M05272  Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot
  M05279  Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot
  M0529   Rheumatoid vasculitis with rheumatoid arthritis of multiple sites
  M0530   Rheumatoid heart disease with rheumatoid arthritis of unspecified site
  M05311  Rheumatoid heart disease with rheumatoid arthritis of right shoulder
  M05312  Rheumatoid heart disease with rheumatoid arthritis of left shoulder
  M05319  Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder
  M05321  Rheumatoid heart disease with rheumatoid arthritis of right elbow
  M05322  Rheumatoid heart disease with rheumatoid arthritis of left elbow
  M05329  Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow
  M05331  Rheumatoid heart disease with rheumatoid arthritis of right wrist
  M05332  Rheumatoid heart disease with rheumatoid arthritis of left wrist
  M05339  Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist
  M05341  Rheumatoid heart disease with rheumatoid arthritis of right hand
  M05342  Rheumatoid heart disease with rheumatoid arthritis of left hand
  M05349  Rheumatoid heart disease with rheumatoid arthritis of unspecified hand
  M05351  Rheumatoid heart disease with rheumatoid arthritis of right hip
  M05352  Rheumatoid heart disease with rheumatoid arthritis of left hip
  M05359  Rheumatoid heart disease with rheumatoid arthritis of unspecified hip
  M05361  Rheumatoid heart disease with rheumatoid arthritis of right knee
  M05362  Rheumatoid heart disease with rheumatoid arthritis of left knee
  M05369  Rheumatoid heart disease with rheumatoid arthritis of unspecified knee
  M05371  Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot
  M05372  Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot
  M05379  Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot
  M0539   Rheumatoid heart disease with rheumatoid arthritis of multiple sites
  M0540   Rheumatoid myopathy with rheumatoid arthritis of unspecified site
  M05411  Rheumatoid myopathy with rheumatoid arthritis of right shoulder
  M05412  Rheumatoid myopathy with rheumatoid arthritis of left shoulder
  M05419  Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder
  M05421  Rheumatoid myopathy with rheumatoid arthritis of right elbow
  M05422  Rheumatoid myopathy with rheumatoid arthritis of left elbow
  M05429  Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow
  M05431  Rheumatoid myopathy with rheumatoid arthritis of right wrist
  M05432  Rheumatoid myopathy with rheumatoid arthritis of left wrist
  M05439  Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist
  M05441  Rheumatoid myopathy with rheumatoid arthritis of right hand
  M05442  Rheumatoid myopathy with rheumatoid arthritis of left hand
  M05449  Rheumatoid myopathy with rheumatoid arthritis of unspecified hand
  M05451  Rheumatoid myopathy with rheumatoid arthritis of right hip
  M05452  Rheumatoid myopathy with rheumatoid arthritis of left hip
  M05459  Rheumatoid myopathy with rheumatoid arthritis of unspecified hip
  M05461  Rheumatoid myopathy with rheumatoid arthritis of right knee
  M05462  Rheumatoid myopathy with rheumatoid arthritis of left knee
  M05469  Rheumatoid myopathy with rheumatoid arthritis of unspecified knee
  M05471  Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot
  M05472  Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot
  M05479  Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot
  M0549   Rheumatoid myopathy with rheumatoid arthritis of multiple sites
  M0550   Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site
  M05511  Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder
  M05512  Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder
  M05519  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder
  M05521  Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow
  M05522  Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow
  M05529  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow
  M05531  Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist
  M05532  Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist
  M05539  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist
  M05541  Rheumatoid polyneuropathy with rheumatoid arthritis of right hand
  M05542  Rheumatoid polyneuropathy with rheumatoid arthritis of left hand
  M05549  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand
  M05551  Rheumatoid polyneuropathy with rheumatoid arthritis of right hip
  M05552  Rheumatoid polyneuropathy with rheumatoid arthritis of left hip
  M05559  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip
  M05561  Rheumatoid polyneuropathy with rheumatoid arthritis of right knee
  M05562  Rheumatoid polyneuropathy with rheumatoid arthritis of left knee
  M05569  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee
  M05571  Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot
  M05572  Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot
  M05579  Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot
