:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  D2921   Benign neoplasm of right testis
  D2922   Benign neoplasm of left testis
  D2930   Benign neoplasm of unspecified epididymis
  D2931   Benign neoplasm of right epididymis
  D2932   Benign neoplasm of left epididymis
  D294    Benign neoplasm of scrotum
  D298    Benign neoplasm of other specified male genital organs
  D299    Benign neoplasm of male genital organ, unspecified
  D400    Neoplasm of uncertain behavior of prostate
  D4010   Neoplasm of uncertain behavior of unspecified testis
  D4011   Neoplasm of uncertain behavior of right testis
  D4012   Neoplasm of uncertain behavior of left testis
  D408    Neoplasm of uncertain behavior of other specified male genital organs
  D409    Neoplasm of uncertain behavior of male genital organ, unspecified
  I861    Scrotal varices
  I862    Pelvic varices
  L291    Pruritus scroti
  L293    Anogenital pruritus, unspecified
  N341    Nonspecific urethritis
  N400    Benign prostatic hyperplasia without lower urinary tract symptoms
  N401    Benign prostatic hyperplasia with lower urinary tract symptoms
  N402    Nodular prostate without lower urinary tract symptoms
  N403    Nodular prostate with lower urinary tract symptoms
  N410    Acute prostatitis
  N411    Chronic prostatitis
  N412    Abscess of prostate
  N413    Prostatocystitis
  N414    Granulomatous prostatitis
  N418    Other inflammatory diseases of prostate
  N419    Inflammatory disease of prostate, unspecified
  N420    Calculus of prostate
  N421    Congestion and hemorrhage of prostate
  N4230   Unspecified dysplasia of prostate
  N4231   Prostatic intraepithelial neoplasia
  N4232   Atypical small acinar proliferation of prostate
  N4239   Other dysplasia of prostate
  N4281   Prostatodynia syndrome
  N4282   Prostatosis syndrome
  N4283   Cyst of prostate
  N4289   Other specified disorders of prostate
  N429    Disorder of prostate, unspecified
  N430    Encysted hydrocele
  N431    Infected hydrocele
  N432    Other hydrocele
  N433    Hydrocele, unspecified
  N4340   Spermatocele of epididymis, unspecified
  N4341   Spermatocele of epididymis, single
  N4342   Spermatocele of epididymis, multiple
  N4400   Torsion of testis, unspecified
  N4401   Extravaginal torsion of spermatic cord
  N4402   Intravaginal torsion of spermatic cord
  N4403   Torsion of appendix testis
  N4404   Torsion of appendix epididymis
  N441    Cyst of tunica albuginea testis
  N442    Benign cyst of testis
  N448    Other noninflammatory disorders of the testis
  N451    Epididymitis
  N452    Orchitis
  N453    Epididymo-orchitis
  N454    Abscess of epididymis or testis
  N4601   Organic azoospermia
  N46021  Azoospermia due to drug therapy
  N46022  Azoospermia due to infection
  N46023  Azoospermia due to obstruction of efferent ducts
  N46024  Azoospermia due to radiation
  N46025  Azoospermia due to systemic disease
  N46029  Azoospermia due to other extratesticular causes
  N4611   Organic oligospermia
  N46121  Oligospermia due to drug therapy
  N46122  Oligospermia due to infection
  N46123  Oligospermia due to obstruction of efferent ducts
  N46124  Oligospermia due to radiation
  N46125  Oligospermia due to systemic disease
  N46129  Oligospermia due to other extratesticular causes
  N468    Other male infertility
  N469    Male infertility, unspecified
  N470    Adherent prepuce, newborn
  N471    Phimosis
  N472    Paraphimosis
  N473    Deficient foreskin
  N474    Benign cyst of prepuce
  N475    Adhesions of prepuce and glans penis
  N476    Balanoposthitis
  N477    Other inflammatory diseases of prepuce
  N478    Other disorders of prepuce
  N480    Leukoplakia of penis
  N481    Balanitis
  N4821   Abscess of corpus cavernosum and penis
  N4822   Cellulitis of corpus cavernosum and penis
  N4829   Other inflammatory disorders of penis
  N4830   Priapism, unspecified
  N4831   Priapism due to trauma
  N4832   Priapism due to disease classified elsewhere
  N4833   Priapism, drug-induced
  N4839   Other priapism
  N485    Ulcer of penis
  N486    Induration penis plastica
  N4881   Thrombosis of superficial vein of penis
  N4882   Acquired torsion of penis
  N4883   Acquired buried penis
  N4889   Other specified disorders of penis
  N489    Disorder of penis, unspecified
  N490    Inflammatory disorders of seminal vesicle
  N491    Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens
  N492    Inflammatory disorders of scrotum
  N493    Fournier gangrene
  N498    Inflammatory disorders of other specified male genital organs
  N499    Inflammatory disorder of unspecified male genital organ
  N500    Atrophy of testis
  N501    Vascular disorders of male genital organs
  N503    Cyst of epididymis
  N50811  Right testicular pain
  N50812  Left testicular pain
  N50819  Testicular pain, unspecified
  N5082   Scrotal pain
  N5089   Other specified disorders of the male genital organs
  N509    Disorder of male genital organs, unspecified
  N51     Disorders of male genital organs in diseases classified elsewhere
  N5201   Erectile dysfunction due to arterial insufficiency
  N5202   Corporo-venous occlusive erectile dysfunction
  N5203   Combined arterial insufficiency and corporo-venous occlusive erectile dysfunction
  N521    Erectile dysfunction due to diseases classified elsewhere
  N522    Drug-induced erectile dysfunction
  N5231   Erectile dysfunction following radical prostatectomy
  N5232   Erectile dysfunction following radical cystectomy
  N5233   Erectile dysfunction following urethral surgery
  N5234   Erectile dysfunction following simple prostatectomy
  N5235   Erectile dysfunction following radiation therapy
  N5236   Erectile dysfunction following interstitial seed therapy
  N5237   Erectile dysfunction following prostate ablative therapy
  N5239   Other and unspecified postprocedural erectile dysfunction
  N528    Other male erectile dysfunction
  N529    Male erectile dysfunction, unspecified
  N5311   Retarded ejaculation
  N5312   Painful ejaculation
  N5313   Anejaculatory orgasm
  N5314   Retrograde ejaculation
  N5319   Other ejaculatory dysfunction
  N538    Other male sexual dysfunction
  N539    Unspecified male sexual dysfunction
  Q5300   Ectopic testis, unspecified
  Q5301   Ectopic testis, unilateral
  Q5302   Ectopic testes, bilateral
  Q5310   Unspecified undescended testicle, unilateral
  Q53111  Unilateral intraabdominal testis
  Q53112  Unilateral inguinal testis
  Q5312   Ectopic perineal testis, unilateral
  Q5313   Unilateral high scrotal testis
  Q5320   Undescended testicle, unspecified, bilateral
  Q53211  Bilateral intraabdominal testes
  Q53212  Bilateral inguinal testes
  Q5322   Ectopic perineal testis, bilateral
  Q5323   Bilateral high scrotal testes
  Q539    Undescended testicle, unspecified
  Q540    Hypospadias, balanic
  Q541    Hypospadias, penile
  Q542    Hypospadias, penoscrotal
  Q543    Hypospadias, perineal
  Q544    Congenital chordee
  Q548    Other hypospadias
  Q549    Hypospadias, unspecified
  Q550    Absence and aplasia of testis
  Q551    Hypoplasia of testis and scrotum
  Q5520   Unspecified congenital malformations of testis and scrotum
  Q5521   Polyorchism
  Q5522   Retractile testis
  Q5523   Scrotal transposition
  Q5529   Other congenital malformations of testis and scrotum
  Q553    Atresia of vas deferens
  Q554    Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate
  Q555    Congenital absence and aplasia of penis
  Q5561   Curvature of penis (lateral)
  Q5562   Hypoplasia of penis
  Q5563   Congenital torsion of penis
  Q5564   Hidden penis
  Q5569   Other congenital malformation of penis
  Q557    Congenital vasocutaneous fistula
  Q558    Other specified congenital malformations of male genital organs
  Q559    Congenital malformation of male genital organ, unspecified
  Q560    Hermaphroditism, not elsewhere classified
  Q561    Male pseudohermaphroditism, not elsewhere classified
  Q563    Pseudohermaphroditism, unspecified
  Q564    Indeterminate sex, unspecified
  Q640    Epispadias
  Q980    Klinefelter syndrome karyotype 47, XXY
  Q981    Klinefelter syndrome, male with more than two X chromosomes
  Q983    Other male with 46, XX karyotype
  Q984    Klinefelter syndrome, unspecified
  Q985    Karyotype 47, XYY
  Q986    Male with structurally abnormal sex chromosome
  Q987    Male with sex chromosome mosaicism
  Q988    Other specified sex chromosome abnormalities, male phenotype
  Q989    Sex chromosome abnormality, male phenotype, unspecified
  Q990    Chimera 46, XX/46, XY
  Q991    46, XX true hermaphrodite
  Q9989   Other specified chromosome abnormalities
  R361    Hematospermia
  R860    Abnormal level of enzymes in specimens from male genital organs
  R861    Abnormal level of hormones in specimens from male genital organs
  R862    Abnormal level of other drugs, medicaments and biological substances in specimens from male genital organs
  R863    Abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs
  R864    Abnormal immunological findings in specimens from male genital organs
  R865    Abnormal microbiological findings in specimens from male genital organs
  R866    Abnormal cytological findings in specimens from male genital organs
  R867    Abnormal histological findings in specimens from male genital organs
  R868    Other abnormal findings in specimens from male genital organs
  R869    Unspecified abnormal finding in specimens from male genital organs
  R93811  Abnormal radiologic findings on diagnostic imaging of right testicle
  R93812  Abnormal radiologic findings on diagnostic imaging of left testicle
  R93813  Abnormal radiologic findings on diagnostic imaging of testicles, bilateral
  R93819  Abnormal radiologic findings on diagnostic imaging of unspecified testicle
  S30201A Contusion of unspecified external genital organ, male, initial encounter
  S3021XA Contusion of penis, initial encounter
  S3022XA Contusion of scrotum and testes, initial encounter
  S3120XA Unspecified open wound of penis, initial encounter
  S3121XA Laceration without foreign body of penis, initial encounter
  S3122XA Laceration with foreign body of penis, initial encounter
  S3123XA Puncture wound without foreign body of penis, initial encounter
  S3124XA Puncture wound with foreign body of penis, initial encounter
  S3125XA Open bite of penis, initial encounter
  S3130XA Unspecified open wound of scrotum and testes, initial encounter
  S3131XA Laceration without foreign body of scrotum and testes, initial encounter
  S3132XA Laceration with foreign body of scrotum and testes, initial encounter
  S3133XA Puncture wound without foreign body of scrotum and testes, initial encounter
  S3134XA Puncture wound with foreign body of scrotum and testes, initial encounter
  S3135XA Open bite of scrotum and testes, initial encounter
  S31501A Unspecified open wound of unspecified external genital organs, male, initial encounter
  S31501S Unspecified open wound of unspecified external genital organs, male, sequela
  S31511A Laceration without foreign body of unspecified external genital organs, male, initial encounter
  S31511S Laceration without foreign body of unspecified external genital organs, male, sequela
  S31521A Laceration with foreign body of unspecified external genital organs, male, initial encounter
  S31521S Laceration with foreign body of unspecified external genital organs, male, sequela
  S31531A Puncture wound without foreign body of unspecified external genital organs, male, initial encounter
  S31531S Puncture wound without foreign body of unspecified external genital organs, male, sequela
  S31541A Puncture wound with foreign body of unspecified external genital organs, male, initial encounter
  S31541S Puncture wound with foreign body of unspecified external genital organs, male, sequela
  S31551A Open bite of unspecified external genital organs, male, initial encounter
  S31551S Open bite of unspecified external genital organs, male, sequela
  S3710XS Unspecified injury of ureter, sequela
  S3712XS Contusion of ureter, sequela
  S3713XS Laceration of ureter, sequela
  S3719XS Other injury of ureter, sequela
  S3720XS Unspecified injury of bladder, sequela
  S3722XS Contusion of bladder, sequela
  S3723XS Laceration of bladder, sequela
  S3729XS Other injury of bladder, sequela
  S3730XS Unspecified injury of urethra, sequela
  S3732XS Contusion of urethra, sequela
  S3733XS Laceration of urethra, sequela
  S3739XS Other injury of urethra, sequela
  S37812S Contusion of adrenal gland, sequela
  S37813S Laceration of adrenal gland, sequela
  S37818S Other injury of adrenal gland, sequela
  S37819S Unspecified injury of adrenal gland, sequela
  S37822A Contusion of prostate, initial encounter
  S37822S Contusion of prostate, sequela
  S37823A Laceration of prostate, initial encounter
  S37823S Laceration of prostate, sequela
  S37828A Other injury of prostate, initial encounter
  S37828S Other injury of prostate, sequela
  S37829A Unspecified injury of prostate, initial encounter
  S37829S Unspecified injury of prostate, sequela
  S37892A Contusion of other urinary and pelvic organ, initial encounter
  S37892S Contusion of other urinary and pelvic organ, sequela
  S37893A Laceration of other urinary and pelvic organ, initial encounter
  S37893S Laceration of other urinary and pelvic organ, sequela
  S37898A Other injury of other urinary and pelvic organ, initial encounter
  S37898S Other injury of other urinary and pelvic organ, sequela
  S37899A Unspecified injury of other urinary and pelvic organ, initial encounter
  S37899S Unspecified injury of other urinary and pelvic organ, sequela
  S3790XA Unspecified injury of unspecified urinary and pelvic organ, initial encounter
  S3790XS Unspecified injury of unspecified urinary and pelvic organ, sequela
  S3792XA Contusion of unspecified urinary and pelvic organ, initial encounter
  S3792XS Contusion of unspecified urinary and pelvic organ, sequela
  S3793XA Laceration of unspecified urinary and pelvic organ, initial encounter
  S3793XS Laceration of unspecified urinary and pelvic organ, sequela
  S3799XA Other injury of unspecified urinary and pelvic organ, initial encounter
  S3799XS Other injury of unspecified urinary and pelvic organ, sequela
  S38001A Crushing injury of unspecified external genital organs, male, initial encounter
  S3801XA Crushing injury of penis, initial encounter
  S3802XA Crushing injury of scrotum and testis, initial encounter
  S38221A Complete traumatic amputation of penis, initial encounter
  S38222A Partial traumatic amputation of penis, initial encounter
  S38231A Complete traumatic amputation of scrotum and testis, initial encounter
  S38232A Partial traumatic amputation of scrotum and testis, initial encounter
  T194XXA Foreign body in penis, initial encounter
  Z302    Encounter for sterilization
  Z310    Encounter for reversal of previous sterilization
  Z412    Encounter for routine and ritual male circumcision
  Z9079   Acquired absence of other genital organ(s)

+-------------------------------+
| Major Male Pelvic Procedures  |
+------------------+------------+
|    CC or MCC     |    DRG     |
+------------------+------------+
|       Yes        |    707     |
+------------------+------------+
|        No        |    708     |
+------------------+------------+

DRG 707 Major Male Pelvic Procedures with CC/MCC
DRG 708 Major Male Pelvic Procedures without CC/MCC

OPERATING ROOM PROCEDURES

  07JP0ZZ       Inspection of Spleen, Open Approach
  07T80ZZ       Resection of Right Internal Mammary Lymphatic, Open Approach
  07T84ZZ       Resection of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach
  07T90ZZ       Resection of Left Internal Mammary Lymphatic, Open Approach
  07T94ZZ       Resection of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach
  07TC0ZZ       Resection of Pelvis Lymphatic, Open Approach
  07TC4ZZ       Resection of Pelvis Lymphatic, Percutaneous Endoscopic Approach
  07TD0ZZ       Resection of Aortic Lymphatic, Open Approach
  07TD4ZZ       Resection of Aortic Lymphatic, Percutaneous Endoscopic Approach
  07TH0ZZ       Resection of Right Inguinal Lymphatic, Open Approach
  07TH4ZZ       Resection of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach
  07TJ0ZZ       Resection of Left Inguinal Lymphatic, Open Approach
  07TJ4ZZ       Resection of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach
  0DBP0ZZ       Excision of Rectum, Open Approach
  0DBP4ZZ       Excision of Rectum, Percutaneous Endoscopic Approach
  0DJ00ZZ       Inspection of Upper Intestinal Tract, Open Approach
  0DJ60ZZ       Inspection of Stomach, Open Approach
  0DJD0ZZ       Inspection of Lower Intestinal Tract, Open Approach
  0DJU0ZZ       Inspection of Omentum, Open Approach
  0DJV0ZZ       Inspection of Mesentery, Open Approach
  0DJW0ZZ       Inspection of Peritoneum, Open Approach
  0FJ00ZZ       Inspection of Liver, Open Approach
  0TBB0ZZ       Excision of Bladder, Open Approach
  0TBB3ZZ       Excision of Bladder, Percutaneous Approach
  0TBB4ZZ       Excision of Bladder, Percutaneous Endoscopic Approach
  0TBC0ZZ       Excision of Bladder Neck, Open Approach
  0TBC3ZZ       Excision of Bladder Neck, Percutaneous Approach
  0TBC4ZZ       Excision of Bladder Neck, Percutaneous Endoscopic Approach
  0TTB0ZZ       Resection of Bladder, Open Approach
  0TTB4ZZ       Resection of Bladder, Percutaneous Endoscopic Approach
  0TTB7ZZ       Resection of Bladder, Via Natural or Artificial Opening
  0TTB8ZZ       Resection of Bladder, Via Natural or Artificial Opening Endoscopic
  0TTC0ZZ       Resection of Bladder Neck, Open Approach
  0TTC4ZZ       Resection of Bladder Neck, Percutaneous Endoscopic Approach
  0TTC7ZZ       Resection of Bladder Neck, Via Natural or Artificial Opening
  0TTC8ZZ       Resection of Bladder Neck, Via Natural or Artificial Opening Endoscopic
  0V500Z3       Destruction of Prostate using Laser Interstitial Thermal Therapy, Open Approach
  0V500ZZ       Destruction of Prostate, Open Approach
  0V503Z3       Destruction of Prostate using Laser Interstitial Thermal Therapy, Percutaneous Approach
  0V503ZZ       Destruction of Prostate, Percutaneous Approach
  0V504Z3       Destruction of Prostate using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach
  0V504ZZ       Destruction of Prostate, Percutaneous Endoscopic Approach
  0VT00ZE       Resection of Prostate, Open Approach, Capsule Intact
  0VT00ZZ       Resection of Prostate, Open Approach
  0VT04ZE       Resection of Prostate, Percutaneous Endoscopic Approach, Capsule Intact
  0VT04ZZ       Resection of Prostate, Percutaneous Endoscopic Approach
  0WBH0ZZ       Excision of Retroperitoneum, Open Approach
  0WBH3ZZ       Excision of Retroperitoneum, Percutaneous Approach
  0WBH4ZZ       Excision of Retroperitoneum, Percutaneous Endoscopic Approach
  0WJG0ZZ       Inspection of Peritoneal Cavity, Open Approach
  0WJJ0ZZ       Inspection of Pelvic Cavity, Open Approach
  0WJP0ZZ       Inspection of Gastrointestinal Tract, Open Approach
  0WJR0ZZ       Inspection of Genitourinary Tract, Open Approach
  0VT00ZZ       Resection of Prostate, Open Approach
   and 0VT30ZZ  Resection of Bilateral Seminal Vesicles, Open Approach

  0VT00ZZ       Resection of Prostate, Open Approach
   and 0VT34ZZ  Resection of Bilateral Seminal Vesicles, Percutaneous Endoscopic Approach

  0VT04ZZ       Resection of Prostate, Percutaneous Endoscopic Approach
   and 0VT30ZZ  Resection of Bilateral Seminal Vesicles, Open Approach

  0VT04ZZ       Resection of Prostate, Percutaneous Endoscopic Approach
   and 0VT34ZZ  Resection of Bilateral Seminal Vesicles, Percutaneous Endoscopic Approach

  0VT07ZZ       Resection of Prostate, Via Natural or Artificial Opening
   and 0VT30ZZ  Resection of Bilateral Seminal Vesicles, Open Approach

  0VT07ZZ       Resection of Prostate, Via Natural or Artificial Opening
   and 0VT34ZZ  Resection of Bilateral Seminal Vesicles, Percutaneous Endoscopic Approach

  0VT08ZZ       Resection of Prostate, Via Natural or Artificial Opening Endoscopic
   and 0VT30ZZ  Resection of Bilateral Seminal Vesicles, Open Approach

  0VT08ZZ       Resection of Prostate, Via Natural or Artificial Opening Endoscopic
   and 0VT34ZZ  Resection of Bilateral Seminal Vesicles, Percutaneous Endoscopic Approach

+-------------------+
| Penis Procedures  |
+------------+------+
| CC or MCC  | DRG  |
+------------+------+
|    Yes     | 709  |
+------------+------+
|     No     | 710  |
+------------+------+

DRG 709 Penis Procedures with CC/MCC
DRG 710 Penis Procedures without CC/MCC

OPERATING ROOM PROCEDURES

  0TMD0ZZ Reattachment of Urethra, Open Approach
  0TMD4ZZ Reattachment of Urethra, Percutaneous Endoscopic Approach
  0TND0ZZ Release Urethra, Open Approach
  0TND3ZZ Release Urethra, Percutaneous Approach
  0TND4ZZ Release Urethra, Percutaneous Endoscopic Approach
  0TND7ZZ Release Urethra, Via Natural or Artificial Opening
  0TND8ZZ Release Urethra, Via Natural or Artificial Opening Endoscopic
  0TNDXZZ Release Urethra, External Approach
  0TQD0ZZ Repair Urethra, Open Approach
  0TQD3ZZ Repair Urethra, Percutaneous Approach
  0TQD4ZZ Repair Urethra, Percutaneous Endoscopic Approach
  0TQD7ZZ Repair Urethra, Via Natural or Artificial Opening
  0TQD8ZZ Repair Urethra, Via Natural or Artificial Opening Endoscopic
  0TQDXZZ Repair Urethra, External Approach
  0TRD07Z Replacement of Urethra with Autologous Tissue Substitute, Open Approach
  0TRD0JZ Replacement of Urethra with Synthetic Substitute, Open Approach
  0TRD0KZ Replacement of Urethra with Nonautologous Tissue Substitute, Open Approach
  0TRD47Z Replacement of Urethra with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0TRD4JZ Replacement of Urethra with Synthetic Substitute, Percutaneous Endoscopic Approach
  0TRD4KZ Replacement of Urethra with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0TRD77Z Replacement of Urethra with Autologous Tissue Substitute, Via Natural or Artificial Opening
  0TRD7JZ Replacement of Urethra with Synthetic Substitute, Via Natural or Artificial Opening
  0TRD7KZ Replacement of Urethra with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
  0TRD87Z Replacement of Urethra with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
  0TRD8JZ Replacement of Urethra with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
  0TRD8KZ Replacement of Urethra with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
  0TRDX7Z Replacement of Urethra with Autologous Tissue Substitute, External Approach
  0TRDXJZ Replacement of Urethra with Synthetic Substitute, External Approach
  0TRDXKZ Replacement of Urethra with Nonautologous Tissue Substitute, External Approach
  0TSD0ZZ Reposition Urethra, Open Approach
  0TSD4ZZ Reposition Urethra, Percutaneous Endoscopic Approach
  0TUD07Z Supplement Urethra with Autologous Tissue Substitute, Open Approach
  0TUD0JZ Supplement Urethra with Synthetic Substitute, Open Approach
  0TUD0KZ Supplement Urethra with Nonautologous Tissue Substitute, Open Approach
  0TUD47Z Supplement Urethra with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  0TUD4JZ Supplement Urethra with Synthetic Substitute, Percutaneous Endoscopic Approach
  0TUD4KZ Supplement Urethra with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  0TUD77Z Supplement Urethra with Autologous Tissue Substitute, Via Natural or Artificial Opening
  0TUD7JZ Supplement Urethra with Synthetic Substitute, Via Natural or Artificial Opening
  0TUD7KZ Supplement Urethra with Nonautologous Tissue Substitute, Via Natural or Artificial Opening
  0TUD87Z Supplement Urethra with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
  0TUD8JZ Supplement Urethra with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
  0TUD8KZ Supplement Urethra with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic
  0TUDX7Z Supplement Urethra with Autologous Tissue Substitute, External Approach
  0TUDXJZ Supplement Urethra with Synthetic Substitute, External Approach
  0TUDXKZ Supplement Urethra with Nonautologous Tissue Substitute, External Approach
  0TVD0CZ Restriction of Urethra with Extraluminal Device, Open Approach
  0TVD0DZ Restriction of Urethra with Intraluminal Device, Open Approach
  0TVD0ZZ Restriction of Urethra, Open Approach
  0TVD3CZ Restriction of Urethra with Extraluminal Device, Percutaneous Approach
  0TVD3DZ Restriction of Urethra with Intraluminal Device, Percutaneous Approach
  0TVD3ZZ Restriction of Urethra, Percutaneous Approach
  0TVD4CZ Restriction of Urethra with Extraluminal Device, Percutaneous Endoscopic Approach
  0TVD4DZ Restriction of Urethra with Intraluminal Device, Percutaneous Endoscopic Approach
  0TVD4ZZ Restriction of Urethra, Percutaneous Endoscopic Approach
  0TVD7DZ Restriction of Urethra with Intraluminal Device, Via Natural or Artificial Opening
  0TVD7ZZ Restriction of Urethra, Via Natural or Artificial Opening
  0TVD8DZ Restriction of Urethra with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0TVD8ZZ Restriction of Urethra, Via Natural or Artificial Opening Endoscopic
  0TVDXZZ Restriction of Urethra, External Approach
  0V5S0ZZ Destruction of Penis, Open Approach
  0V5S3ZZ Destruction of Penis, Percutaneous Approach
  0V5S4ZZ Destruction of Penis, Percutaneous Endoscopic Approach
  0V5SXZZ Destruction of Penis, External Approach
  0V5T0ZZ Destruction of Prepuce, Open Approach
  0V5T3ZZ Destruction of Prepuce, Percutaneous Approach
  0V5T4ZZ Destruction of Prepuce, Percutaneous Endoscopic Approach
  0V5TXZZ Destruction of Prepuce, External Approach
  0V9S00Z Drainage of Penis with Drainage Device, Open Approach
  0V9S0ZX Drainage of Penis, Open Approach, Diagnostic
  0V9S0ZZ Drainage of Penis, Open Approach
  0V9S3ZX Drainage of Penis, Percutaneous Approach, Diagnostic
  0V9S40Z Drainage of Penis with Drainage Device, Percutaneous Endoscopic Approach
  0V9S4ZX Drainage of Penis, Percutaneous Endoscopic Approach, Diagnostic
  0V9S4ZZ Drainage of Penis, Percutaneous Endoscopic Approach
  0V9SX0Z Drainage of Penis with Drainage Device, External Approach
  0V9SXZX Drainage of Penis, External Approach, Diagnostic
  0V9SXZZ Drainage of Penis, External Approach
  0V9T00Z Drainage of Prepuce with Drainage Device, Open Approach
  0V9T0ZX Drainage of Prepuce, Open Approach, Diagnostic
  0V9T0ZZ Drainage of Prepuce, Open Approach
  0V9T3ZX Drainage of Prepuce, Percutaneous Approach, Diagnostic
  0V9T40Z Drainage of Prepuce with Drainage Device, Percutaneous Endoscopic Approach
  0V9T4ZX Drainage of Prepuce, Percutaneous Endoscopic Approach, Diagnostic
  0V9T4ZZ Drainage of Prepuce, Percutaneous Endoscopic Approach
  0V9TX0Z Drainage of Prepuce with Drainage Device, External Approach
  0V9TXZX Drainage of Prepuce, External Approach, Diagnostic
  0V9TXZZ Drainage of Prepuce, External Approach
  0VBS0ZX Excision of Penis, Open Approach, Diagnostic
  0VBS0ZZ Excision of Penis, Open Approach
  0VBS3ZX Excision of Penis, Percutaneous Approach, Diagnostic
  0VBS3ZZ Excision of Penis, Percutaneous Approach
  0VBS4ZX Excision of Penis, Percutaneous Endoscopic Approach, Diagnostic
  0VBS4ZZ Excision of Penis, Percutaneous Endoscopic Approach
  0VBSXZX Excision of Penis, External Approach, Diagnostic
  0VBSXZZ Excision of Penis, External Approach
